,vignette,sender,infotype,recipient,type
28,a sleep monitor records owner's exercise routine which is sent to its manufacturer,a sleep monitor,owner's exercise routine,its manufacturer,iotNull
29,a sleep monitor records owner's exercise routine which is sent to other devices in the home,a sleep monitor,owner's exercise routine,other devices in the home,iotNull
30,a sleep monitor records owner's exercise routine which is sent to owner's immediate family,a sleep monitor,owner's exercise routine,owner's immediate family,iotNull
31,a sleep monitor records owner's exercise routine which is sent to owner's social media accounts,a sleep monitor,owner's exercise routine,owner's social media accounts,iotNull
32,a sleep monitor records owner's sleeping habits which is sent to the local police,a sleep monitor,owner's sleeping habits,the local police,iotNull
33,a sleep monitor records owner's sleeping habits which is sent to government intelligence agencies,a sleep monitor,owner's sleeping habits,government intelligence agencies,iotNull
34,a sleep monitor records owner's sleeping habits which is sent to owner's doctor,a sleep monitor,owner's sleeping habits,owner's doctor,iotNull
35,a sleep monitor records owner's sleeping habits which is sent to an Internet service provider,a sleep monitor,owner's sleeping habits,an Internet service provider,iotNull
36,a sleep monitor records owner's sleeping habits which is sent to its manufacturer,a sleep monitor,owner's sleeping habits,its manufacturer,iotNull
37,a sleep monitor records owner's sleeping habits which is sent to other devices in the home,a sleep monitor,owner's sleeping habits,other devices in the home,iotNull
38,a sleep monitor records owner's sleeping habits which is sent to owner's immediate family,a sleep monitor,owner's sleeping habits,owner's immediate family,iotNull
39,a sleep monitor records owner's sleeping habits which is sent to owner's social media accounts,a sleep monitor,owner's sleeping habits,owner's social media accounts,iotNull
40,a sleep monitor records audio of owner which is sent to the local police,a sleep monitor,audio of owner,the local police,iotNull
41,a sleep monitor records audio of owner which is sent to government intelligence agencies,a sleep monitor,audio of owner,government intelligence agencies,iotNull
42,a sleep monitor records audio of owner which is sent to owner's doctor,a sleep monitor,audio of owner,owner's doctor,iotNull
43,a sleep monitor records audio of owner which is sent to an Internet service provider,a sleep monitor,audio of owner,an Internet service provider,iotNull
44,a sleep monitor records audio of owner which is sent to its manufacturer,a sleep monitor,audio of owner,its manufacturer,iotNull
45,a sleep monitor records audio of owner which is sent to other devices in the home,a sleep monitor,audio of owner,other devices in the home,iotNull
46,a sleep monitor records audio of owner which is sent to owner's immediate family,a sleep monitor,audio of owner,owner's immediate family,iotNull
47,a sleep monitor records audio of owner which is sent to owner's social media accounts,a sleep monitor,audio of owner,owner's social media accounts,iotNull
48,a sleep monitor records video of owner which is sent to the local police,a sleep monitor,video of owner,the local police,iotNull
49,a sleep monitor records video of owner which is sent to government intelligence agencies,a sleep monitor,video of owner,government intelligence agencies,iotNull
50,a sleep monitor records video of owner which is sent to owner's doctor,a sleep monitor,video of owner,owner's doctor,iotNull
51,a sleep monitor records video of owner which is sent to an Internet service provider,a sleep monitor,video of owner,an Internet service provider,iotNull
52,a sleep monitor records video of owner which is sent to its manufacturer,a sleep monitor,video of owner,its manufacturer,iotNull
53,a sleep monitor records video of owner which is sent to other devices in the home,a sleep monitor,video of owner,other devices in the home,iotNull
54,a sleep monitor records video of owner which is sent to owner's immediate family,a sleep monitor,video of owner,owner's immediate family,iotNull
55,a sleep monitor records video of owner which is sent to owner's social media accounts,a sleep monitor,video of owner,owner's social media accounts,iotNull
56,a sleep monitor records owner's heart rate which is sent to the local police,a sleep monitor,owner's heart rate,the local police,iotNull
57,a sleep monitor records owner's heart rate which is sent to government intelligence agencies,a sleep monitor,owner's heart rate,government intelligence agencies,iotNull
58,a sleep monitor records owner's heart rate which is sent to owner's doctor,a sleep monitor,owner's heart rate,owner's doctor,iotNull
59,a sleep monitor records owner's heart rate which is sent to an Internet service provider,a sleep monitor,owner's heart rate,an Internet service provider,iotNull
60,a sleep monitor records owner's heart rate which is sent to its manufacturer,a sleep monitor,owner's heart rate,its manufacturer,iotNull
61,a sleep monitor records owner's heart rate which is sent to other devices in the home,a sleep monitor,owner's heart rate,other devices in the home,iotNull
62,a sleep monitor records owner's heart rate which is sent to owner's immediate family,a sleep monitor,owner's heart rate,owner's immediate family,iotNull
63,a sleep monitor records owner's heart rate which is sent to owner's social media accounts,a sleep monitor,owner's heart rate,owner's social media accounts,iotNull
64,a sleep monitor records the times it is used which is sent to the local police,a sleep monitor,the times it is used,the local police,iotNull
65,a sleep monitor records the times it is used which is sent to government intelligence agencies,a sleep monitor,the times it is used,government intelligence agencies,iotNull
66,a sleep monitor records the times it is used which is sent to owner's doctor,a sleep monitor,the times it is used,owner's doctor,iotNull
67,a sleep monitor records the times it is used which is sent to an Internet service provider,a sleep monitor,the times it is used,an Internet service provider,iotNull
68,a sleep monitor records the times it is used which is sent to its manufacturer,a sleep monitor,the times it is used,its manufacturer,iotNull
69,a sleep monitor records the times it is used which is sent to other devices in the home,a sleep monitor,the times it is used,other devices in the home,iotNull
70,a sleep monitor records the times it is used which is sent to owner's immediate family,a sleep monitor,the times it is used,owner's immediate family,iotNull
71,a sleep monitor records the times it is used which is sent to owner's social media accounts,a sleep monitor,the times it is used,owner's social media accounts,iotNull
72,a security camera records owner's location which is sent to the local police,a security camera,owner's location,the local police,iotNull
73,a security camera records owner's location which is sent to government intelligence agencies,a security camera,owner's location,government intelligence agencies,iotNull
74,a security camera records owner's location which is sent to owner's doctor,a security camera,owner's location,owner's doctor,iotNull
75,a security camera records owner's location which is sent to an Internet service provider,a security camera,owner's location,an Internet service provider,iotNull
76,a security camera records owner's location which is sent to its manufacturer,a security camera,owner's location,its manufacturer,iotNull
77,a security camera records owner's location which is sent to other devices in the home,a security camera,owner's location,other devices in the home,iotNull
78,a security camera records owner's location which is sent to owner's immediate family,a security camera,owner's location,owner's immediate family,iotNull
79,a security camera records owner's location which is sent to owner's social media accounts,a security camera,owner's location,owner's social media accounts,iotNull
80,a security camera records owner's eating habits which is sent to the local police,a security camera,owner's eating habits,the local police,iotNull
81,a security camera records owner's eating habits which is sent to government intelligence agencies,a security camera,owner's eating habits,government intelligence agencies,iotNull
82,a security camera records owner's eating habits which is sent to owner's doctor,a security camera,owner's eating habits,owner's doctor,iotNull
83,a security camera records owner's eating habits which is sent to an Internet service provider,a security camera,owner's eating habits,an Internet service provider,iotNull
84,a security camera records owner's eating habits which is sent to its manufacturer,a security camera,owner's eating habits,its manufacturer,iotNull
85,a security camera records owner's eating habits which is sent to other devices in the home,a security camera,owner's eating habits,other devices in the home,iotNull
86,a security camera records owner's eating habits which is sent to owner's immediate family,a security camera,owner's eating habits,owner's immediate family,iotNull
87,a security camera records owner's eating habits which is sent to owner's social media accounts,a security camera,owner's eating habits,owner's social media accounts,iotNull
88,a security camera records the times owner is home which is sent to the local police,a security camera,the times owner is home,the local police,iotNull
89,a security camera records the times owner is home which is sent to government intelligence agencies,a security camera,the times owner is home,government intelligence agencies,iotNull
90,a security camera records the times owner is home which is sent to owner's doctor,a security camera,the times owner is home,owner's doctor,iotNull
91,a security camera records the times owner is home which is sent to an Internet service provider,a security camera,the times owner is home,an Internet service provider,iotNull
92,a security camera records the times owner is home which is sent to its manufacturer,a security camera,the times owner is home,its manufacturer,iotNull
93,a security camera records the times owner is home which is sent to other devices in the home,a security camera,the times owner is home,other devices in the home,iotNull
94,a security camera records the times owner is home which is sent to owner's immediate family,a security camera,the times owner is home,owner's immediate family,iotNull
95,a security camera records the times owner is home which is sent to owner's social media accounts,a security camera,the times owner is home,owner's social media accounts,iotNull
96,a security camera records owner's exercise routine which is sent to the local police,a security camera,owner's exercise routine,the local police,iotNull
97,a security camera records owner's exercise routine which is sent to government intelligence agencies,a security camera,owner's exercise routine,government intelligence agencies,iotNull
98,a security camera records owner's exercise routine which is sent to owner's doctor,a security camera,owner's exercise routine,owner's doctor,iotNull
99,a security camera records owner's exercise routine which is sent to an Internet service provider,a security camera,owner's exercise routine,an Internet service provider,iotNull
100,a security camera records owner's exercise routine which is sent to its manufacturer,a security camera,owner's exercise routine,its manufacturer,iotNull
101,a security camera records owner's exercise routine which is sent to other devices in the home,a security camera,owner's exercise routine,other devices in the home,iotNull
102,a security camera records owner's exercise routine which is sent to owner's immediate family,a security camera,owner's exercise routine,owner's immediate family,iotNull
103,a security camera records owner's exercise routine which is sent to owner's social media accounts,a security camera,owner's exercise routine,owner's social media accounts,iotNull
104,a security camera records owner's sleeping habits which is sent to the local police,a security camera,owner's sleeping habits,the local police,iotNull
105,a security camera records owner's sleeping habits which is sent to government intelligence agencies,a security camera,owner's sleeping habits,government intelligence agencies,iotNull
106,a security camera records owner's sleeping habits which is sent to owner's doctor,a security camera,owner's sleeping habits,owner's doctor,iotNull
107,a security camera records owner's sleeping habits which is sent to an Internet service provider,a security camera,owner's sleeping habits,an Internet service provider,iotNull
108,a security camera records owner's sleeping habits which is sent to its manufacturer,a security camera,owner's sleeping habits,its manufacturer,iotNull
109,a security camera records owner's sleeping habits which is sent to other devices in the home,a security camera,owner's sleeping habits,other devices in the home,iotNull
110,a security camera records owner's sleeping habits which is sent to owner's immediate family,a security camera,owner's sleeping habits,owner's immediate family,iotNull
111,a security camera records owner's sleeping habits which is sent to owner's social media accounts,a security camera,owner's sleeping habits,owner's social media accounts,iotNull
112,a security camera records audio of owner which is sent to the local police,a security camera,audio of owner,the local police,iotNull
113,a security camera records audio of owner which is sent to government intelligence agencies,a security camera,audio of owner,government intelligence agencies,iotNull
114,a security camera records audio of owner which is sent to owner's doctor,a security camera,audio of owner,owner's doctor,iotNull
115,a security camera records audio of owner which is sent to an Internet service provider,a security camera,audio of owner,an Internet service provider,iotNull
116,a security camera records audio of owner which is sent to its manufacturer,a security camera,audio of owner,its manufacturer,iotNull
117,a security camera records audio of owner which is sent to other devices in the home,a security camera,audio of owner,other devices in the home,iotNull
118,a security camera records audio of owner which is sent to owner's immediate family,a security camera,audio of owner,owner's immediate family,iotNull
119,a security camera records audio of owner which is sent to owner's social media accounts,a security camera,audio of owner,owner's social media accounts,iotNull
120,a security camera records video of owner which is sent to the local police,a security camera,video of owner,the local police,iotNull
121,a security camera records video of owner which is sent to government intelligence agencies,a security camera,video of owner,government intelligence agencies,iotNull
122,a security camera records video of owner which is sent to owner's doctor,a security camera,video of owner,owner's doctor,iotNull
123,a security camera records video of owner which is sent to an Internet service provider,a security camera,video of owner,an Internet service provider,iotNull
124,a security camera records video of owner which is sent to its manufacturer,a security camera,video of owner,its manufacturer,iotNull
125,a security camera records video of owner which is sent to other devices in the home,a security camera,video of owner,other devices in the home,iotNull
126,a security camera records video of owner which is sent to owner's immediate family,a security camera,video of owner,owner's immediate family,iotNull
127,a security camera records video of owner which is sent to owner's social media accounts,a security camera,video of owner,owner's social media accounts,iotNull
128,a security camera records owner's heart rate which is sent to the local police,a security camera,owner's heart rate,the local police,iotNull
129,a security camera records owner's heart rate which is sent to government intelligence agencies,a security camera,owner's heart rate,government intelligence agencies,iotNull
130,a security camera records owner's heart rate which is sent to owner's doctor,a security camera,owner's heart rate,owner's doctor,iotNull
131,a security camera records owner's heart rate which is sent to an Internet service provider,a security camera,owner's heart rate,an Internet service provider,iotNull
132,a security camera records owner's heart rate which is sent to its manufacturer,a security camera,owner's heart rate,its manufacturer,iotNull
133,a security camera records owner's heart rate which is sent to other devices in the home,a security camera,owner's heart rate,other devices in the home,iotNull
134,a security camera records owner's heart rate which is sent to owner's immediate family,a security camera,owner's heart rate,owner's immediate family,iotNull
135,a security camera records owner's heart rate which is sent to owner's social media accounts,a security camera,owner's heart rate,owner's social media accounts,iotNull
136,a security camera records the times it is used which is sent to the local police,a security camera,the times it is used,the local police,iotNull
137,a security camera records the times it is used which is sent to government intelligence agencies,a security camera,the times it is used,government intelligence agencies,iotNull
138,a security camera records the times it is used which is sent to owner's doctor,a security camera,the times it is used,owner's doctor,iotNull
139,a security camera records the times it is used which is sent to an Internet service provider,a security camera,the times it is used,an Internet service provider,iotNull
140,a security camera records the times it is used which is sent to its manufacturer,a security camera,the times it is used,its manufacturer,iotNull
141,a security camera records the times it is used which is sent to other devices in the home,a security camera,the times it is used,other devices in the home,iotNull
142,a security camera records the times it is used which is sent to owner's immediate family,a security camera,the times it is used,owner's immediate family,iotNull
143,a security camera records the times it is used which is sent to owner's social media accounts,a security camera,the times it is used,owner's social media accounts,iotNull
144,a door lock records owner's location which is sent to the local police,a door lock,owner's location,the local police,iotNull
145,a door lock records owner's location which is sent to government intelligence agencies,a door lock,owner's location,government intelligence agencies,iotNull
146,a door lock records owner's location which is sent to owner's doctor,a door lock,owner's location,owner's doctor,iotNull
147,a door lock records owner's location which is sent to an Internet service provider,a door lock,owner's location,an Internet service provider,iotNull
148,a door lock records owner's location which is sent to its manufacturer,a door lock,owner's location,its manufacturer,iotNull
149,a door lock records owner's location which is sent to other devices in the home,a door lock,owner's location,other devices in the home,iotNull
150,a door lock records owner's location which is sent to owner's immediate family,a door lock,owner's location,owner's immediate family,iotNull
151,a door lock records owner's location which is sent to owner's social media accounts,a door lock,owner's location,owner's social media accounts,iotNull
152,a door lock records owner's eating habits which is sent to the local police,a door lock,owner's eating habits,the local police,iotNull
153,a door lock records owner's eating habits which is sent to government intelligence agencies,a door lock,owner's eating habits,government intelligence agencies,iotNull
154,a door lock records owner's eating habits which is sent to owner's doctor,a door lock,owner's eating habits,owner's doctor,iotNull
155,a door lock records owner's eating habits which is sent to an Internet service provider,a door lock,owner's eating habits,an Internet service provider,iotNull
156,a door lock records owner's eating habits which is sent to its manufacturer,a door lock,owner's eating habits,its manufacturer,iotNull
157,a door lock records owner's eating habits which is sent to other devices in the home,a door lock,owner's eating habits,other devices in the home,iotNull
158,a door lock records owner's eating habits which is sent to owner's immediate family,a door lock,owner's eating habits,owner's immediate family,iotNull
159,a door lock records owner's eating habits which is sent to owner's social media accounts,a door lock,owner's eating habits,owner's social media accounts,iotNull
160,a door lock records the times owner is home which is sent to the local police,a door lock,the times owner is home,the local police,iotNull
161,a door lock records the times owner is home which is sent to government intelligence agencies,a door lock,the times owner is home,government intelligence agencies,iotNull
162,a door lock records the times owner is home which is sent to owner's doctor,a door lock,the times owner is home,owner's doctor,iotNull
163,a door lock records the times owner is home which is sent to an Internet service provider,a door lock,the times owner is home,an Internet service provider,iotNull
164,a door lock records the times owner is home which is sent to its manufacturer,a door lock,the times owner is home,its manufacturer,iotNull
165,a door lock records the times owner is home which is sent to other devices in the home,a door lock,the times owner is home,other devices in the home,iotNull
166,a door lock records the times owner is home which is sent to owner's immediate family,a door lock,the times owner is home,owner's immediate family,iotNull
167,a door lock records the times owner is home which is sent to owner's social media accounts,a door lock,the times owner is home,owner's social media accounts,iotNull
168,a door lock records owner's exercise routine which is sent to the local police,a door lock,owner's exercise routine,the local police,iotNull
169,a door lock records owner's exercise routine which is sent to government intelligence agencies,a door lock,owner's exercise routine,government intelligence agencies,iotNull
170,a door lock records owner's exercise routine which is sent to owner's doctor,a door lock,owner's exercise routine,owner's doctor,iotNull
171,a door lock records owner's exercise routine which is sent to an Internet service provider,a door lock,owner's exercise routine,an Internet service provider,iotNull
172,a door lock records owner's exercise routine which is sent to its manufacturer,a door lock,owner's exercise routine,its manufacturer,iotNull
173,a door lock records owner's exercise routine which is sent to other devices in the home,a door lock,owner's exercise routine,other devices in the home,iotNull
174,a door lock records owner's exercise routine which is sent to owner's immediate family,a door lock,owner's exercise routine,owner's immediate family,iotNull
175,a door lock records owner's exercise routine which is sent to owner's social media accounts,a door lock,owner's exercise routine,owner's social media accounts,iotNull
176,a door lock records owner's sleeping habits which is sent to the local police,a door lock,owner's sleeping habits,the local police,iotNull
177,a door lock records owner's sleeping habits which is sent to government intelligence agencies,a door lock,owner's sleeping habits,government intelligence agencies,iotNull
178,a door lock records owner's sleeping habits which is sent to owner's doctor,a door lock,owner's sleeping habits,owner's doctor,iotNull
179,a door lock records owner's sleeping habits which is sent to an Internet service provider,a door lock,owner's sleeping habits,an Internet service provider,iotNull
180,a door lock records owner's sleeping habits which is sent to its manufacturer,a door lock,owner's sleeping habits,its manufacturer,iotNull
181,a door lock records owner's sleeping habits which is sent to other devices in the home,a door lock,owner's sleeping habits,other devices in the home,iotNull
182,a door lock records owner's sleeping habits which is sent to owner's immediate family,a door lock,owner's sleeping habits,owner's immediate family,iotNull
183,a door lock records owner's sleeping habits which is sent to owner's social media accounts,a door lock,owner's sleeping habits,owner's social media accounts,iotNull
184,a door lock records audio of owner which is sent to the local police,a door lock,audio of owner,the local police,iotNull
185,a door lock records audio of owner which is sent to government intelligence agencies,a door lock,audio of owner,government intelligence agencies,iotNull
186,a door lock records audio of owner which is sent to owner's doctor,a door lock,audio of owner,owner's doctor,iotNull
187,a door lock records audio of owner which is sent to an Internet service provider,a door lock,audio of owner,an Internet service provider,iotNull
188,a door lock records audio of owner which is sent to its manufacturer,a door lock,audio of owner,its manufacturer,iotNull
189,a door lock records audio of owner which is sent to other devices in the home,a door lock,audio of owner,other devices in the home,iotNull
190,a door lock records audio of owner which is sent to owner's immediate family,a door lock,audio of owner,owner's immediate family,iotNull
191,a door lock records audio of owner which is sent to owner's social media accounts,a door lock,audio of owner,owner's social media accounts,iotNull
192,a door lock records video of owner which is sent to the local police,a door lock,video of owner,the local police,iotNull
193,a door lock records video of owner which is sent to government intelligence agencies,a door lock,video of owner,government intelligence agencies,iotNull
194,a door lock records video of owner which is sent to owner's doctor,a door lock,video of owner,owner's doctor,iotNull
195,a door lock records video of owner which is sent to an Internet service provider,a door lock,video of owner,an Internet service provider,iotNull
196,a door lock records video of owner which is sent to its manufacturer,a door lock,video of owner,its manufacturer,iotNull
197,a door lock records video of owner which is sent to other devices in the home,a door lock,video of owner,other devices in the home,iotNull
198,a door lock records video of owner which is sent to owner's immediate family,a door lock,video of owner,owner's immediate family,iotNull
199,a door lock records video of owner which is sent to owner's social media accounts,a door lock,video of owner,owner's social media accounts,iotNull
200,a door lock records owner's heart rate which is sent to the local police,a door lock,owner's heart rate,the local police,iotNull
201,a door lock records owner's heart rate which is sent to government intelligence agencies,a door lock,owner's heart rate,government intelligence agencies,iotNull
202,a door lock records owner's heart rate which is sent to owner's doctor,a door lock,owner's heart rate,owner's doctor,iotNull
203,a door lock records owner's heart rate which is sent to an Internet service provider,a door lock,owner's heart rate,an Internet service provider,iotNull
204,a door lock records owner's heart rate which is sent to its manufacturer,a door lock,owner's heart rate,its manufacturer,iotNull
205,a door lock records owner's heart rate which is sent to other devices in the home,a door lock,owner's heart rate,other devices in the home,iotNull
206,a door lock records owner's heart rate which is sent to owner's immediate family,a door lock,owner's heart rate,owner's immediate family,iotNull
207,a door lock records owner's heart rate which is sent to owner's social media accounts,a door lock,owner's heart rate,owner's social media accounts,iotNull
208,a door lock records the times it is used which is sent to the local police,a door lock,the times it is used,the local police,iotNull
209,a door lock records the times it is used which is sent to government intelligence agencies,a door lock,the times it is used,government intelligence agencies,iotNull
210,a door lock records the times it is used which is sent to owner's doctor,a door lock,the times it is used,owner's doctor,iotNull
211,a door lock records the times it is used which is sent to an Internet service provider,a door lock,the times it is used,an Internet service provider,iotNull
212,a door lock records the times it is used which is sent to its manufacturer,a door lock,the times it is used,its manufacturer,iotNull
213,a door lock records the times it is used which is sent to other devices in the home,a door lock,the times it is used,other devices in the home,iotNull
214,a door lock records the times it is used which is sent to owner's immediate family,a door lock,the times it is used,owner's immediate family,iotNull
215,a door lock records the times it is used which is sent to owner's social media accounts,a door lock,the times it is used,owner's social media accounts,iotNull
216,a thermostat records owner's location which is sent to the local police,a thermostat,owner's location,the local police,iotNull
217,a thermostat records owner's location which is sent to government intelligence agencies,a thermostat,owner's location,government intelligence agencies,iotNull
218,a thermostat records owner's location which is sent to owner's doctor,a thermostat,owner's location,owner's doctor,iotNull
219,a thermostat records owner's location which is sent to an Internet service provider,a thermostat,owner's location,an Internet service provider,iotNull
220,a thermostat records owner's location which is sent to its manufacturer,a thermostat,owner's location,its manufacturer,iotNull
221,a thermostat records owner's location which is sent to other devices in the home,a thermostat,owner's location,other devices in the home,iotNull
222,a thermostat records owner's location which is sent to owner's immediate family,a thermostat,owner's location,owner's immediate family,iotNull
223,a thermostat records owner's location which is sent to owner's social media accounts,a thermostat,owner's location,owner's social media accounts,iotNull
224,a thermostat records owner's eating habits which is sent to the local police,a thermostat,owner's eating habits,the local police,iotNull
225,a thermostat records owner's eating habits which is sent to government intelligence agencies,a thermostat,owner's eating habits,government intelligence agencies,iotNull
226,a thermostat records owner's eating habits which is sent to owner's doctor,a thermostat,owner's eating habits,owner's doctor,iotNull
227,a thermostat records owner's eating habits which is sent to an Internet service provider,a thermostat,owner's eating habits,an Internet service provider,iotNull
228,a thermostat records owner's eating habits which is sent to its manufacturer,a thermostat,owner's eating habits,its manufacturer,iotNull
229,a thermostat records owner's eating habits which is sent to other devices in the home,a thermostat,owner's eating habits,other devices in the home,iotNull
230,a thermostat records owner's eating habits which is sent to owner's immediate family,a thermostat,owner's eating habits,owner's immediate family,iotNull
231,a thermostat records owner's eating habits which is sent to owner's social media accounts,a thermostat,owner's eating habits,owner's social media accounts,iotNull
232,a thermostat records the times owner is home which is sent to the local police,a thermostat,the times owner is home,the local police,iotNull
233,a thermostat records the times owner is home which is sent to government intelligence agencies,a thermostat,the times owner is home,government intelligence agencies,iotNull
234,a thermostat records the times owner is home which is sent to owner's doctor,a thermostat,the times owner is home,owner's doctor,iotNull
235,a thermostat records the times owner is home which is sent to an Internet service provider,a thermostat,the times owner is home,an Internet service provider,iotNull
236,a thermostat records the times owner is home which is sent to its manufacturer,a thermostat,the times owner is home,its manufacturer,iotNull
237,a thermostat records the times owner is home which is sent to other devices in the home,a thermostat,the times owner is home,other devices in the home,iotNull
238,a thermostat records the times owner is home which is sent to owner's immediate family,a thermostat,the times owner is home,owner's immediate family,iotNull
239,a thermostat records the times owner is home which is sent to owner's social media accounts,a thermostat,the times owner is home,owner's social media accounts,iotNull
240,a thermostat records owner's exercise routine which is sent to the local police,a thermostat,owner's exercise routine,the local police,iotNull
241,a thermostat records owner's exercise routine which is sent to government intelligence agencies,a thermostat,owner's exercise routine,government intelligence agencies,iotNull
242,a thermostat records owner's exercise routine which is sent to owner's doctor,a thermostat,owner's exercise routine,owner's doctor,iotNull
243,a thermostat records owner's exercise routine which is sent to an Internet service provider,a thermostat,owner's exercise routine,an Internet service provider,iotNull
244,a thermostat records owner's exercise routine which is sent to its manufacturer,a thermostat,owner's exercise routine,its manufacturer,iotNull
245,a thermostat records owner's exercise routine which is sent to other devices in the home,a thermostat,owner's exercise routine,other devices in the home,iotNull
246,a thermostat records owner's exercise routine which is sent to owner's immediate family,a thermostat,owner's exercise routine,owner's immediate family,iotNull
247,a thermostat records owner's exercise routine which is sent to owner's social media accounts,a thermostat,owner's exercise routine,owner's social media accounts,iotNull
248,a thermostat records owner's sleeping habits which is sent to the local police,a thermostat,owner's sleeping habits,the local police,iotNull
249,a thermostat records owner's sleeping habits which is sent to government intelligence agencies,a thermostat,owner's sleeping habits,government intelligence agencies,iotNull
250,a thermostat records owner's sleeping habits which is sent to owner's doctor,a thermostat,owner's sleeping habits,owner's doctor,iotNull
251,a thermostat records owner's sleeping habits which is sent to an Internet service provider,a thermostat,owner's sleeping habits,an Internet service provider,iotNull
252,a thermostat records owner's sleeping habits which is sent to its manufacturer,a thermostat,owner's sleeping habits,its manufacturer,iotNull
253,a thermostat records owner's sleeping habits which is sent to other devices in the home,a thermostat,owner's sleeping habits,other devices in the home,iotNull
254,a thermostat records owner's sleeping habits which is sent to owner's immediate family,a thermostat,owner's sleeping habits,owner's immediate family,iotNull
255,a thermostat records owner's sleeping habits which is sent to owner's social media accounts,a thermostat,owner's sleeping habits,owner's social media accounts,iotNull
256,a thermostat records audio of owner which is sent to the local police,a thermostat,audio of owner,the local police,iotNull
257,a thermostat records audio of owner which is sent to government intelligence agencies,a thermostat,audio of owner,government intelligence agencies,iotNull
258,a thermostat records audio of owner which is sent to owner's doctor,a thermostat,audio of owner,owner's doctor,iotNull
259,a thermostat records audio of owner which is sent to an Internet service provider,a thermostat,audio of owner,an Internet service provider,iotNull
260,a thermostat records audio of owner which is sent to its manufacturer,a thermostat,audio of owner,its manufacturer,iotNull
261,a thermostat records audio of owner which is sent to other devices in the home,a thermostat,audio of owner,other devices in the home,iotNull
262,a thermostat records audio of owner which is sent to owner's immediate family,a thermostat,audio of owner,owner's immediate family,iotNull
263,a thermostat records audio of owner which is sent to owner's social media accounts,a thermostat,audio of owner,owner's social media accounts,iotNull
264,a thermostat records video of owner which is sent to the local police,a thermostat,video of owner,the local police,iotNull
265,a thermostat records video of owner which is sent to government intelligence agencies,a thermostat,video of owner,government intelligence agencies,iotNull
266,a thermostat records video of owner which is sent to owner's doctor,a thermostat,video of owner,owner's doctor,iotNull
267,a thermostat records video of owner which is sent to an Internet service provider,a thermostat,video of owner,an Internet service provider,iotNull
