,vignette,recipient,source,duration,place,type
38,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",license plate reader,a few days,a voting site,location2
39,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",license plate reader,a few minutes,a voting site,location2
40,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a year,a restaurant or a cafe,location2
41,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,about six months,a restaurant or a cafe,location2
42,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a month and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a month,a restaurant or a cafe,location2
43,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few days and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few days,a restaurant or a cafe,location2
44,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few minutes and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few minutes,a restaurant or a cafe,location2
45,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a year,the mall,location2
46,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,about six months,the mall,location2
47,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a month and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a month,the mall,location2
48,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few days and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few days,the mall,location2
49,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few minutes and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few minutes,the mall,location2
50,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a year,a liquor store,location2
51,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,about six months,a liquor store,location2
52,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a month and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a month,a liquor store,location2
53,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few days and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few days,a liquor store,location2
54,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few minutes and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few minutes,a liquor store,location2
55,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a year,a shoe store,location2
56,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,about six months,a shoe store,location2
57,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a month and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a month,a shoe store,location2
58,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few days and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few days,a shoe store,location2
59,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few minutes and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few minutes,a shoe store,location2
60,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a year,home,location2
61,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,about six months,home,location2
62,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a month and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a month,home,location2
63,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few days and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few days,home,location2
64,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few minutes and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few minutes,home,location2
65,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a year,work,location2
66,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,about six months,work,location2
67,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a month and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a month,work,location2
68,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few days and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few days,work,location2
69,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few minutes and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few minutes,work,location2
70,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a year,a medical clinic,location2
71,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,about six months,a medical clinic,location2
72,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a month and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a month,a medical clinic,location2
73,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few days and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few days,a medical clinic,location2
74,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few minutes and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few minutes,a medical clinic,location2
75,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a year,a voting site,location2
76,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,about six months,a voting site,location2
77,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a month and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a month,a voting site,location2
78,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few days and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few days,a voting site,location2
79,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few minutes and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few minutes,a voting site,location2
80,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a year and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a year,a restaurant or a cafe,location2
81,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of about six months and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,about six months,a restaurant or a cafe,location2
82,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a month and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a month,a restaurant or a cafe,location2
83,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few days and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few days,a restaurant or a cafe,location2
84,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few minutes and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few minutes,a restaurant or a cafe,location2
85,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a year and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a year,the mall,location2
86,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of about six months and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,about six months,the mall,location2
87,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a month and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a month,the mall,location2
88,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few days and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few days,the mall,location2
89,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few minutes and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few minutes,the mall,location2
90,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a year and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a year,a liquor store,location2
91,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of about six months and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,about six months,a liquor store,location2
92,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a month and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a month,a liquor store,location2
93,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few days and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few days,a liquor store,location2
94,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few minutes and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few minutes,a liquor store,location2
95,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a year and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a year,a shoe store,location2
96,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of about six months and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,about six months,a shoe store,location2
97,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a month and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a month,a shoe store,location2
98,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few days and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few days,a shoe store,location2
99,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few minutes and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few minutes,a shoe store,location2
100,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a year and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a year,home,location2
101,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of about six months and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,about six months,home,location2
102,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a month and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a month,home,location2
103,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few days and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few days,home,location2
104,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few minutes and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few minutes,home,location2
105,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a year and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a year,work,location2
106,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of about six months and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,about six months,work,location2
107,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a month and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a month,work,location2
108,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few days and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few days,work,location2
109,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few minutes and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few minutes,work,location2
110,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a year and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a year,a medical clinic,location2
111,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of about six months and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,about six months,a medical clinic,location2
112,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a month and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a month,a medical clinic,location2
113,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few days and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few days,a medical clinic,location2
114,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few minutes and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few minutes,a medical clinic,location2
115,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a year and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a year,a voting site,location2
116,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of about six months and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,about six months,a voting site,location2
117,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a month and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a month,a voting site,location2
118,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few days and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few days,a voting site,location2
119,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few minutes and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few minutes,a voting site,location2
120,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a year and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",a fitness app,a year,a restaurant or a cafe,location2
121,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of about six months and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",a fitness app,about six months,a restaurant or a cafe,location2
122,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a month and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",a fitness app,a month,a restaurant or a cafe,location2
123,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a few days and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",a fitness app,a few days,a restaurant or a cafe,location2
124,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a few minutes and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",a fitness app,a few minutes,a restaurant or a cafe,location2
125,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a year and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",a fitness app,a year,the mall,location2
126,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of about six months and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",a fitness app,about six months,the mall,location2
127,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a month and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",a fitness app,a month,the mall,location2
128,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a few days and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",a fitness app,a few days,the mall,location2
129,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a few minutes and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",a fitness app,a few minutes,the mall,location2
130,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a year and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",a fitness app,a year,a liquor store,location2
131,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of about six months and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",a fitness app,about six months,a liquor store,location2
132,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a month and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",a fitness app,a month,a liquor store,location2
