,vignette,actor,infotype,use,type
47,"A social media site connecting friends and acquaintances collects your your location. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",social media site connecting friends and acquaintances,your location,"to sell access to their data (e.g., to a potential buyer or lending institution)",web6
48,A social media site connecting friends and acquaintances collects your your search history. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later,social media site connecting friends and acquaintances,your search history,for others to place ads targeted to you while you are online later,web6
49,A social media site connecting friends and acquaintances collects your your search history. The company sells the data to a data broker who uses the data to to improve services generally,social media site connecting friends and acquaintances,your search history,to improve services generally,web6
50,A social media site connecting friends and acquaintances collects your your search history. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site,social media site connecting friends and acquaintances,your search history,to place ads targeted to you while on their site,web6
51,"A social media site connecting friends and acquaintances collects your your search history. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",social media site connecting friends and acquaintances,your search history,"to sell access to their data (e.g., to a potential buyer or lending institution)",web6
52,A social media site connecting friends and acquaintances collects your the data you included in your profile. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later,social media site connecting friends and acquaintances,the data you included in your profile,for others to place ads targeted to you while you are online later,web6
53,A social media site connecting friends and acquaintances collects your the data you included in your profile. The company sells the data to a data broker who uses the data to to improve services generally,social media site connecting friends and acquaintances,the data you included in your profile,to improve services generally,web6
54,A social media site connecting friends and acquaintances collects your the data you included in your profile. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site,social media site connecting friends and acquaintances,the data you included in your profile,to place ads targeted to you while on their site,web6
55,"A social media site connecting friends and acquaintances collects your the data you included in your profile. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",social media site connecting friends and acquaintances,the data you included in your profile,"to sell access to their data (e.g., to a potential buyer or lending institution)",web6
56,A social media site connecting friends and acquaintances collects your your web activity including browsing or purchase history. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later,social media site connecting friends and acquaintances,your web activity including browsing or purchase history,for others to place ads targeted to you while you are online later,web6
57,A social media site connecting friends and acquaintances collects your your web activity including browsing or purchase history. The company sells the data to a data broker who uses the data to to improve services generally,social media site connecting friends and acquaintances,your web activity including browsing or purchase history,to improve services generally,web6
58,A social media site connecting friends and acquaintances collects your your web activity including browsing or purchase history. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site,social media site connecting friends and acquaintances,your web activity including browsing or purchase history,to place ads targeted to you while on their site,web6
59,"A social media site connecting friends and acquaintances collects your your web activity including browsing or purchase history. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",social media site connecting friends and acquaintances,your web activity including browsing or purchase history,"to sell access to their data (e.g., to a potential buyer or lending institution)",web6
60,"A social media site focussed on sharing photos or videos collects your your likes, clicks and engagement online. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later",social media site focussed on sharing photos or videos,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,web6
61,"A social media site focussed on sharing photos or videos collects your your likes, clicks and engagement online. The company sells the data to a data broker who uses the data to to improve services generally",social media site focussed on sharing photos or videos,"your likes, clicks and engagement online",to improve services generally,web6
62,"A social media site focussed on sharing photos or videos collects your your likes, clicks and engagement online. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site",social media site focussed on sharing photos or videos,"your likes, clicks and engagement online",to place ads targeted to you while on their site,web6
63,"A social media site focussed on sharing photos or videos collects your your likes, clicks and engagement online. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",social media site focussed on sharing photos or videos,"your likes, clicks and engagement online","to sell access to their data (e.g., to a potential buyer or lending institution)",web6
64,A social media site focussed on sharing photos or videos collects your your location. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later,social media site focussed on sharing photos or videos,your location,for others to place ads targeted to you while you are online later,web6
65,A social media site focussed on sharing photos or videos collects your your location. The company sells the data to a data broker who uses the data to to improve services generally,social media site focussed on sharing photos or videos,your location,to improve services generally,web6
66,A social media site focussed on sharing photos or videos collects your your location. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site,social media site focussed on sharing photos or videos,your location,to place ads targeted to you while on their site,web6
67,"A social media site focussed on sharing photos or videos collects your your location. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",social media site focussed on sharing photos or videos,your location,"to sell access to their data (e.g., to a potential buyer or lending institution)",web6
68,A social media site focussed on sharing photos or videos collects your your search history. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later,social media site focussed on sharing photos or videos,your search history,for others to place ads targeted to you while you are online later,web6
69,A social media site focussed on sharing photos or videos collects your your search history. The company sells the data to a data broker who uses the data to to improve services generally,social media site focussed on sharing photos or videos,your search history,to improve services generally,web6
70,A social media site focussed on sharing photos or videos collects your your search history. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site,social media site focussed on sharing photos or videos,your search history,to place ads targeted to you while on their site,web6
71,"A social media site focussed on sharing photos or videos collects your your search history. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",social media site focussed on sharing photos or videos,your search history,"to sell access to their data (e.g., to a potential buyer or lending institution)",web6
72,A social media site focussed on sharing photos or videos collects your the data you included in your profile. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later,social media site focussed on sharing photos or videos,the data you included in your profile,for others to place ads targeted to you while you are online later,web6
73,A social media site focussed on sharing photos or videos collects your the data you included in your profile. The company sells the data to a data broker who uses the data to to improve services generally,social media site focussed on sharing photos or videos,the data you included in your profile,to improve services generally,web6
74,A social media site focussed on sharing photos or videos collects your the data you included in your profile. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site,social media site focussed on sharing photos or videos,the data you included in your profile,to place ads targeted to you while on their site,web6
75,"A social media site focussed on sharing photos or videos collects your the data you included in your profile. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",social media site focussed on sharing photos or videos,the data you included in your profile,"to sell access to their data (e.g., to a potential buyer or lending institution)",web6
76,A social media site focussed on sharing photos or videos collects your your web activity including browsing or purchase history. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later,social media site focussed on sharing photos or videos,your web activity including browsing or purchase history,for others to place ads targeted to you while you are online later,web6
77,A social media site focussed on sharing photos or videos collects your your web activity including browsing or purchase history. The company sells the data to a data broker who uses the data to to improve services generally,social media site focussed on sharing photos or videos,your web activity including browsing or purchase history,to improve services generally,web6
78,A social media site focussed on sharing photos or videos collects your your web activity including browsing or purchase history. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site,social media site focussed on sharing photos or videos,your web activity including browsing or purchase history,to place ads targeted to you while on their site,web6
79,"A social media site focussed on sharing photos or videos collects your your web activity including browsing or purchase history. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",social media site focussed on sharing photos or videos,your web activity including browsing or purchase history,"to sell access to their data (e.g., to a potential buyer or lending institution)",web6
80,"A new site collects your your likes, clicks and engagement online. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later",new site,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,web6
81,"A new site collects your your likes, clicks and engagement online. The company sells the data to a data broker who uses the data to to improve services generally",new site,"your likes, clicks and engagement online",to improve services generally,web6
82,"A new site collects your your likes, clicks and engagement online. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site",new site,"your likes, clicks and engagement online",to place ads targeted to you while on their site,web6
83,"A new site collects your your likes, clicks and engagement online. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",new site,"your likes, clicks and engagement online","to sell access to their data (e.g., to a potential buyer or lending institution)",web6
84,A new site collects your your location. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later,new site,your location,for others to place ads targeted to you while you are online later,web6
85,A new site collects your your location. The company sells the data to a data broker who uses the data to to improve services generally,new site,your location,to improve services generally,web6
86,A new site collects your your location. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site,new site,your location,to place ads targeted to you while on their site,web6
87,"A new site collects your your location. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",new site,your location,"to sell access to their data (e.g., to a potential buyer or lending institution)",web6
88,A new site collects your your search history. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later,new site,your search history,for others to place ads targeted to you while you are online later,web6
89,A new site collects your your search history. The company sells the data to a data broker who uses the data to to improve services generally,new site,your search history,to improve services generally,web6
90,A new site collects your your search history. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site,new site,your search history,to place ads targeted to you while on their site,web6
91,"A new site collects your your search history. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",new site,your search history,"to sell access to their data (e.g., to a potential buyer or lending institution)",web6
92,A new site collects your the data you included in your profile. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later,new site,the data you included in your profile,for others to place ads targeted to you while you are online later,web6
93,A new site collects your the data you included in your profile. The company sells the data to a data broker who uses the data to to improve services generally,new site,the data you included in your profile,to improve services generally,web6
94,A new site collects your the data you included in your profile. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site,new site,the data you included in your profile,to place ads targeted to you while on their site,web6
95,"A new site collects your the data you included in your profile. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",new site,the data you included in your profile,"to sell access to their data (e.g., to a potential buyer or lending institution)",web6
96,A new site collects your your web activity including browsing or purchase history. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later,new site,your web activity including browsing or purchase history,for others to place ads targeted to you while you are online later,web6
97,A new site collects your your web activity including browsing or purchase history. The company sells the data to a data broker who uses the data to to improve services generally,new site,your web activity including browsing or purchase history,to improve services generally,web6
98,A new site collects your your web activity including browsing or purchase history. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site,new site,your web activity including browsing or purchase history,to place ads targeted to you while on their site,web6
99,"A new site collects your your web activity including browsing or purchase history. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",new site,your web activity including browsing or purchase history,"to sell access to their data (e.g., to a potential buyer or lending institution)",web6
