,vignette,actor,infotype,use,inference,type
11,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. The company keeps the new knowledge to place ads targeted to you while on their site",browser,"your likes, clicks and engagement online",to place ads targeted to you while on their site,your emotional state or your mood,web2
12,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). The company keeps the new knowledge to place ads targeted to you while on their site",browser,"your likes, clicks and engagement online",to place ads targeted to you while on their site,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web2
13,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). The company keeps the new knowledge to place ads targeted to you while on their site",browser,"your likes, clicks and engagement online",to place ads targeted to you while on their site,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web2
14,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). The company keeps the new knowledge to place ads targeted to you while on their site",browser,"your likes, clicks and engagement online",to place ads targeted to you while on their site,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web2
15,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,"your likes, clicks and engagement online","to sell access to their data (e.g., to a potential buyer or lending institution)","demographics such as age, gender, race, family status, income, sexual orientation etc.",web2
16,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,"your likes, clicks and engagement online","to sell access to their data (e.g., to a potential buyer or lending institution)",your emotional state or your mood,web2
17,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,"your likes, clicks and engagement online","to sell access to their data (e.g., to a potential buyer or lending institution)","friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web2
18,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,"your likes, clicks and engagement online","to sell access to their data (e.g., to a potential buyer or lending institution)","interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web2
19,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,"your likes, clicks and engagement online","to sell access to their data (e.g., to a potential buyer or lending institution)","recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web2
20,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. The company keeps the new knowledge for others to place ads targeted to you while you are online later",browser,your location,for others to place ads targeted to you while you are online later,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web2
21,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. The company keeps the new knowledge for others to place ads targeted to you while you are online later",browser,your location,for others to place ads targeted to you while you are online later,your emotional state or your mood,web2
22,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). The company keeps the new knowledge for others to place ads targeted to you while you are online later",browser,your location,for others to place ads targeted to you while you are online later,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web2
23,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). The company keeps the new knowledge for others to place ads targeted to you while you are online later",browser,your location,for others to place ads targeted to you while you are online later,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web2
24,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). The company keeps the new knowledge for others to place ads targeted to you while you are online later",browser,your location,for others to place ads targeted to you while you are online later,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web2
25,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. The company keeps the new knowledge to improve services generally",browser,your location,to improve services generally,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web2
26,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. The company keeps the new knowledge to improve services generally",browser,your location,to improve services generally,your emotional state or your mood,web2
27,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). The company keeps the new knowledge to improve services generally",browser,your location,to improve services generally,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web2
28,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). The company keeps the new knowledge to improve services generally",browser,your location,to improve services generally,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web2
29,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). The company keeps the new knowledge to improve services generally",browser,your location,to improve services generally,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web2
30,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. The company keeps the new knowledge to place ads targeted to you while on their site",browser,your location,to place ads targeted to you while on their site,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web2
31,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. The company keeps the new knowledge to place ads targeted to you while on their site",browser,your location,to place ads targeted to you while on their site,your emotional state or your mood,web2
32,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). The company keeps the new knowledge to place ads targeted to you while on their site",browser,your location,to place ads targeted to you while on their site,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web2
33,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). The company keeps the new knowledge to place ads targeted to you while on their site",browser,your location,to place ads targeted to you while on their site,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web2
34,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). The company keeps the new knowledge to place ads targeted to you while on their site",browser,your location,to place ads targeted to you while on their site,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web2
35,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your location,"to sell access to their data (e.g., to a potential buyer or lending institution)","demographics such as age, gender, race, family status, income, sexual orientation etc.",web2
36,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your location,"to sell access to their data (e.g., to a potential buyer or lending institution)",your emotional state or your mood,web2
37,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your location,"to sell access to their data (e.g., to a potential buyer or lending institution)","friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web2
38,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your location,"to sell access to their data (e.g., to a potential buyer or lending institution)","interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web2
39,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your location,"to sell access to their data (e.g., to a potential buyer or lending institution)","recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web2
40,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. The company keeps the new knowledge for others to place ads targeted to you while you are online later",browser,your search history,for others to place ads targeted to you while you are online later,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web2
41,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. The company keeps the new knowledge for others to place ads targeted to you while you are online later",browser,your search history,for others to place ads targeted to you while you are online later,your emotional state or your mood,web2
42,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). The company keeps the new knowledge for others to place ads targeted to you while you are online later",browser,your search history,for others to place ads targeted to you while you are online later,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web2
43,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). The company keeps the new knowledge for others to place ads targeted to you while you are online later",browser,your search history,for others to place ads targeted to you while you are online later,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web2
44,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). The company keeps the new knowledge for others to place ads targeted to you while you are online later",browser,your search history,for others to place ads targeted to you while you are online later,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web2
45,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. The company keeps the new knowledge to improve services generally",browser,your search history,to improve services generally,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web2
46,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. The company keeps the new knowledge to improve services generally",browser,your search history,to improve services generally,your emotional state or your mood,web2
47,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). The company keeps the new knowledge to improve services generally",browser,your search history,to improve services generally,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web2
48,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). The company keeps the new knowledge to improve services generally",browser,your search history,to improve services generally,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web2
49,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). The company keeps the new knowledge to improve services generally",browser,your search history,to improve services generally,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web2
50,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. The company keeps the new knowledge to place ads targeted to you while on their site",browser,your search history,to place ads targeted to you while on their site,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web2
51,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. The company keeps the new knowledge to place ads targeted to you while on their site",browser,your search history,to place ads targeted to you while on their site,your emotional state or your mood,web2
52,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). The company keeps the new knowledge to place ads targeted to you while on their site",browser,your search history,to place ads targeted to you while on their site,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web2
53,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). The company keeps the new knowledge to place ads targeted to you while on their site",browser,your search history,to place ads targeted to you while on their site,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web2
54,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). The company keeps the new knowledge to place ads targeted to you while on their site",browser,your search history,to place ads targeted to you while on their site,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web2
55,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your search history,"to sell access to their data (e.g., to a potential buyer or lending institution)","demographics such as age, gender, race, family status, income, sexual orientation etc.",web2
56,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your search history,"to sell access to their data (e.g., to a potential buyer or lending institution)",your emotional state or your mood,web2
57,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your search history,"to sell access to their data (e.g., to a potential buyer or lending institution)","friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web2
58,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your search history,"to sell access to their data (e.g., to a potential buyer or lending institution)","interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web2
59,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your search history,"to sell access to their data (e.g., to a potential buyer or lending institution)","recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web2
60,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. The company keeps the new knowledge for others to place ads targeted to you while you are online later",browser,the data you included in your profile,for others to place ads targeted to you while you are online later,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web2
61,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. The company keeps the new knowledge for others to place ads targeted to you while you are online later",browser,the data you included in your profile,for others to place ads targeted to you while you are online later,your emotional state or your mood,web2
62,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). The company keeps the new knowledge for others to place ads targeted to you while you are online later",browser,the data you included in your profile,for others to place ads targeted to you while you are online later,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web2
63,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). The company keeps the new knowledge for others to place ads targeted to you while you are online later",browser,the data you included in your profile,for others to place ads targeted to you while you are online later,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web2
64,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). The company keeps the new knowledge for others to place ads targeted to you while you are online later",browser,the data you included in your profile,for others to place ads targeted to you while you are online later,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web2
65,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. The company keeps the new knowledge to improve services generally",browser,the data you included in your profile,to improve services generally,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web2
66,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. The company keeps the new knowledge to improve services generally",browser,the data you included in your profile,to improve services generally,your emotional state or your mood,web2
67,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). The company keeps the new knowledge to improve services generally",browser,the data you included in your profile,to improve services generally,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web2
68,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). The company keeps the new knowledge to improve services generally",browser,the data you included in your profile,to improve services generally,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web2
69,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). The company keeps the new knowledge to improve services generally",browser,the data you included in your profile,to improve services generally,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web2
70,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. The company keeps the new knowledge to place ads targeted to you while on their site",browser,the data you included in your profile,to place ads targeted to you while on their site,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web2
71,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. The company keeps the new knowledge to place ads targeted to you while on their site",browser,the data you included in your profile,to place ads targeted to you while on their site,your emotional state or your mood,web2
72,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). The company keeps the new knowledge to place ads targeted to you while on their site",browser,the data you included in your profile,to place ads targeted to you while on their site,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web2
73,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). The company keeps the new knowledge to place ads targeted to you while on their site",browser,the data you included in your profile,to place ads targeted to you while on their site,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web2
74,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). The company keeps the new knowledge to place ads targeted to you while on their site",browser,the data you included in your profile,to place ads targeted to you while on their site,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web2
75,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,the data you included in your profile,"to sell access to their data (e.g., to a potential buyer or lending institution)","demographics such as age, gender, race, family status, income, sexual orientation etc.",web2
76,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,the data you included in your profile,"to sell access to their data (e.g., to a potential buyer or lending institution)",your emotional state or your mood,web2
77,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,the data you included in your profile,"to sell access to their data (e.g., to a potential buyer or lending institution)","friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web2
78,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,the data you included in your profile,"to sell access to their data (e.g., to a potential buyer or lending institution)","interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web2
79,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,the data you included in your profile,"to sell access to their data (e.g., to a potential buyer or lending institution)","recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web2
80,"A browser collects your your web activity including browsing or purchase history. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. The company keeps the new knowledge for others to place ads targeted to you while you are online later",browser,your web activity including browsing or purchase history,for others to place ads targeted to you while you are online later,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web2
81,"A browser collects your your web activity including browsing or purchase history. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. The company keeps the new knowledge for others to place ads targeted to you while you are online later",browser,your web activity including browsing or purchase history,for others to place ads targeted to you while you are online later,your emotional state or your mood,web2
82,"A browser collects your your web activity including browsing or purchase history. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). The company keeps the new knowledge for others to place ads targeted to you while you are online later",browser,your web activity including browsing or purchase history,for others to place ads targeted to you while you are online later,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web2
83,"A browser collects your your web activity including browsing or purchase history. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). The company keeps the new knowledge for others to place ads targeted to you while you are online later",browser,your web activity including browsing or purchase history,for others to place ads targeted to you while you are online later,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web2
84,"A browser collects your your web activity including browsing or purchase history. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). The company keeps the new knowledge for others to place ads targeted to you while you are online later",browser,your web activity including browsing or purchase history,for others to place ads targeted to you while you are online later,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web2
85,"A browser collects your your web activity including browsing or purchase history. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. The company keeps the new knowledge to improve services generally",browser,your web activity including browsing or purchase history,to improve services generally,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web2
86,"A browser collects your your web activity including browsing or purchase history. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. The company keeps the new knowledge to improve services generally",browser,your web activity including browsing or purchase history,to improve services generally,your emotional state or your mood,web2
87,"A browser collects your your web activity including browsing or purchase history. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). The company keeps the new knowledge to improve services generally",browser,your web activity including browsing or purchase history,to improve services generally,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web2
