,vignette,recipient,source,duration,place,inference,type
42,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a month and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a month,a restaurant or a cafe,who your friends are,location3
43,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few days and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few days,a restaurant or a cafe,who your friends are,location3
44,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few minutes and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few minutes,a restaurant or a cafe,who your friends are,location3
45,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a year,the mall,whether they are active in their political beliefs in attending protests,location3
46,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,about six months,the mall,whether they are active in their political beliefs in attending protests,location3
47,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a month and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a month,the mall,whether they are active in their political beliefs in attending protests,location3
48,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few days and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few days,the mall,whether they are active in their political beliefs in attending protests,location3
49,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few minutes and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few minutes,the mall,whether they are active in their political beliefs in attending protests,location3
50,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a year,a liquor store,whether they have a drinking problem,location3
51,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,about six months,a liquor store,whether they have a drinking problem,location3
52,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a month and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a month,a liquor store,whether they have a drinking problem,location3
53,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few days and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few days,a liquor store,whether they have a drinking problem,location3
54,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few minutes and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few minutes,a liquor store,whether they have a drinking problem,location3
55,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a year,a shoe store,how susceptible they are to show ads,location3
56,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,about six months,a shoe store,how susceptible they are to show ads,location3
57,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a month and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a month,a shoe store,how susceptible they are to show ads,location3
58,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few days and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few days,a shoe store,how susceptible they are to show ads,location3
59,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few minutes and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few minutes,a shoe store,how susceptible they are to show ads,location3
60,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a year,home,how often they spend the nigh away from home,location3
61,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,about six months,home,how often they spend the nigh away from home,location3
62,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a month and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a month,home,how often they spend the nigh away from home,location3
63,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few days and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few days,home,how often they spend the nigh away from home,location3
64,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few minutes and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few minutes,home,how often they spend the nigh away from home,location3
65,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a year,work,whether they are dedicated workers,location3
66,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,about six months,work,whether they are dedicated workers,location3
67,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a month and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a month,work,whether they are dedicated workers,location3
68,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few days and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few days,work,whether they are dedicated workers,location3
69,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few minutes and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few minutes,work,whether they are dedicated workers,location3
70,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a year,a medical clinic,whether they have a chronic illness,location3
71,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,about six months,a medical clinic,whether they have a chronic illness,location3
72,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a month and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a month,a medical clinic,whether they have a chronic illness,location3
73,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few days and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few days,a medical clinic,whether they have a chronic illness,location3
74,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few minutes and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few minutes,a medical clinic,whether they have a chronic illness,location3
75,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at a voting site and how regularly they vote","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a year,a voting site,how regularly they vote,location3
76,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at a voting site and how regularly they vote","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,about six months,a voting site,how regularly they vote,location3
77,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a month and uses this data to figure out if a person was at a voting site and how regularly they vote","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a month,a voting site,how regularly they vote,location3
78,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few days and uses this data to figure out if a person was at a voting site and how regularly they vote","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few days,a voting site,how regularly they vote,location3
79,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition for a period of a few minutes and uses this data to figure out if a person was at a voting site and how regularly they vote","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a few minutes,a voting site,how regularly they vote,location3
80,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a year and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a year,a restaurant or a cafe,who your friends are,location3
81,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of about six months and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,about six months,a restaurant or a cafe,who your friends are,location3
82,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a month and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a month,a restaurant or a cafe,who your friends are,location3
83,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few days and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few days,a restaurant or a cafe,who your friends are,location3
84,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few minutes and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few minutes,a restaurant or a cafe,who your friends are,location3
85,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a year and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a year,the mall,whether they are active in their political beliefs in attending protests,location3
86,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of about six months and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,about six months,the mall,whether they are active in their political beliefs in attending protests,location3
87,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a month and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a month,the mall,whether they are active in their political beliefs in attending protests,location3
88,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few days and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few days,the mall,whether they are active in their political beliefs in attending protests,location3
89,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few minutes and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few minutes,the mall,whether they are active in their political beliefs in attending protests,location3
90,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a year and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a year,a liquor store,whether they have a drinking problem,location3
91,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of about six months and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,about six months,a liquor store,whether they have a drinking problem,location3
92,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a month and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a month,a liquor store,whether they have a drinking problem,location3
93,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few days and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few days,a liquor store,whether they have a drinking problem,location3
94,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few minutes and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few minutes,a liquor store,whether they have a drinking problem,location3
95,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a year and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a year,a shoe store,how susceptible they are to show ads,location3
96,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of about six months and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,about six months,a shoe store,how susceptible they are to show ads,location3
97,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a month and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a month,a shoe store,how susceptible they are to show ads,location3
98,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few days and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few days,a shoe store,how susceptible they are to show ads,location3
99,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few minutes and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few minutes,a shoe store,how susceptible they are to show ads,location3
100,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a year and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a year,home,how often they spend the nigh away from home,location3
101,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of about six months and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,about six months,home,how often they spend the nigh away from home,location3
102,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a month and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a month,home,how often they spend the nigh away from home,location3
103,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few days and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few days,home,how often they spend the nigh away from home,location3
104,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few minutes and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few minutes,home,how often they spend the nigh away from home,location3
105,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a year and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a year,work,whether they are dedicated workers,location3
106,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of about six months and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,about six months,work,whether they are dedicated workers,location3
107,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a month and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a month,work,whether they are dedicated workers,location3
108,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone for a period of a few days and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a few days,work,whether they are dedicated workers,location3
