,vignette,recipient,source,place,type
144,A commercial data brooker acquires location data from license plate reader and uses this data to figure out if a person was at a restaurant or a cafe,A commercial data brooker,license plate reader,a restaurant or a cafe,location1
145,A commercial data brooker acquires location data from license plate reader and uses this data to figure out if a person was at the mall,A commercial data brooker,license plate reader,the mall,location1
146,A commercial data brooker acquires location data from license plate reader and uses this data to figure out if a person was at a liquor store,A commercial data brooker,license plate reader,a liquor store,location1
147,A commercial data brooker acquires location data from license plate reader and uses this data to figure out if a person was at a shoe store,A commercial data brooker,license plate reader,a shoe store,location1
148,A commercial data brooker acquires location data from license plate reader and uses this data to figure out if a person was at home,A commercial data brooker,license plate reader,home,location1
149,A commercial data brooker acquires location data from license plate reader and uses this data to figure out if a person was at work,A commercial data brooker,license plate reader,work,location1
150,A commercial data brooker acquires location data from license plate reader and uses this data to figure out if a person was at a medical clinic,A commercial data brooker,license plate reader,a medical clinic,location1
151,A commercial data brooker acquires location data from license plate reader and uses this data to figure out if a person was at a voting site,A commercial data brooker,license plate reader,a voting site,location1
152,A commercial data brooker acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a restaurant or a cafe,A commercial data brooker,CCTV cameras with facial recognition,a restaurant or a cafe,location1
153,A commercial data brooker acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at the mall,A commercial data brooker,CCTV cameras with facial recognition,the mall,location1
154,A commercial data brooker acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a liquor store,A commercial data brooker,CCTV cameras with facial recognition,a liquor store,location1
155,A commercial data brooker acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a shoe store,A commercial data brooker,CCTV cameras with facial recognition,a shoe store,location1
156,A commercial data brooker acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at home,A commercial data brooker,CCTV cameras with facial recognition,home,location1
157,A commercial data brooker acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at work,A commercial data brooker,CCTV cameras with facial recognition,work,location1
158,A commercial data brooker acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a medical clinic,A commercial data brooker,CCTV cameras with facial recognition,a medical clinic,location1
159,A commercial data brooker acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a voting site,A commercial data brooker,CCTV cameras with facial recognition,a voting site,location1
160,A commercial data brooker acquires location data from signal from mobile phone and uses this data to figure out if a person was at a restaurant or a cafe,A commercial data brooker,signal from mobile phone,a restaurant or a cafe,location1
161,A commercial data brooker acquires location data from signal from mobile phone and uses this data to figure out if a person was at the mall,A commercial data brooker,signal from mobile phone,the mall,location1
162,A commercial data brooker acquires location data from signal from mobile phone and uses this data to figure out if a person was at a liquor store,A commercial data brooker,signal from mobile phone,a liquor store,location1
163,A commercial data brooker acquires location data from signal from mobile phone and uses this data to figure out if a person was at a shoe store,A commercial data brooker,signal from mobile phone,a shoe store,location1
164,A commercial data brooker acquires location data from signal from mobile phone and uses this data to figure out if a person was at home,A commercial data brooker,signal from mobile phone,home,location1
165,A commercial data brooker acquires location data from signal from mobile phone and uses this data to figure out if a person was at work,A commercial data brooker,signal from mobile phone,work,location1
166,A commercial data brooker acquires location data from signal from mobile phone and uses this data to figure out if a person was at a medical clinic,A commercial data brooker,signal from mobile phone,a medical clinic,location1
167,A commercial data brooker acquires location data from signal from mobile phone and uses this data to figure out if a person was at a voting site,A commercial data brooker,signal from mobile phone,a voting site,location1
168,A commercial data brooker acquires location data from a fitness app and uses this data to figure out if a person was at a restaurant or a cafe,A commercial data brooker,a fitness app,a restaurant or a cafe,location1
169,A commercial data brooker acquires location data from a fitness app and uses this data to figure out if a person was at the mall,A commercial data brooker,a fitness app,the mall,location1
170,A commercial data brooker acquires location data from a fitness app and uses this data to figure out if a person was at a liquor store,A commercial data brooker,a fitness app,a liquor store,location1
171,A commercial data brooker acquires location data from a fitness app and uses this data to figure out if a person was at a shoe store,A commercial data brooker,a fitness app,a shoe store,location1
172,A commercial data brooker acquires location data from a fitness app and uses this data to figure out if a person was at home,A commercial data brooker,a fitness app,home,location1
173,A commercial data brooker acquires location data from a fitness app and uses this data to figure out if a person was at work,A commercial data brooker,a fitness app,work,location1
174,A commercial data brooker acquires location data from a fitness app and uses this data to figure out if a person was at a medical clinic,A commercial data brooker,a fitness app,a medical clinic,location1
175,A commercial data brooker acquires location data from a fitness app and uses this data to figure out if a person was at a voting site,A commercial data brooker,a fitness app,a voting site,location1
176,A commercial data brooker acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a restaurant or a cafe,A commercial data brooker,from geo-tagged posts from social media,a restaurant or a cafe,location1
177,A commercial data brooker acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at the mall,A commercial data brooker,from geo-tagged posts from social media,the mall,location1
178,A commercial data brooker acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a liquor store,A commercial data brooker,from geo-tagged posts from social media,a liquor store,location1
179,A commercial data brooker acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a shoe store,A commercial data brooker,from geo-tagged posts from social media,a shoe store,location1
180,A commercial data brooker acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at home,A commercial data brooker,from geo-tagged posts from social media,home,location1
181,A commercial data brooker acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at work,A commercial data brooker,from geo-tagged posts from social media,work,location1
182,A commercial data brooker acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a medical clinic,A commercial data brooker,from geo-tagged posts from social media,a medical clinic,location1
183,A commercial data brooker acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a voting site,A commercial data brooker,from geo-tagged posts from social media,a voting site,location1
184,A commercial data brooker acquires location data from a mapping app and uses this data to figure out if a person was at a restaurant or a cafe,A commercial data brooker,a mapping app,a restaurant or a cafe,location1
185,A commercial data brooker acquires location data from a mapping app and uses this data to figure out if a person was at the mall,A commercial data brooker,a mapping app,the mall,location1
186,A commercial data brooker acquires location data from a mapping app and uses this data to figure out if a person was at a liquor store,A commercial data brooker,a mapping app,a liquor store,location1
187,A commercial data brooker acquires location data from a mapping app and uses this data to figure out if a person was at a shoe store,A commercial data brooker,a mapping app,a shoe store,location1
188,A commercial data brooker acquires location data from a mapping app and uses this data to figure out if a person was at home,A commercial data brooker,a mapping app,home,location1
189,A commercial data brooker acquires location data from a mapping app and uses this data to figure out if a person was at work,A commercial data brooker,a mapping app,work,location1
190,A commercial data brooker acquires location data from a mapping app and uses this data to figure out if a person was at a medical clinic,A commercial data brooker,a mapping app,a medical clinic,location1
191,A commercial data brooker acquires location data from a mapping app and uses this data to figure out if a person was at a voting site,A commercial data brooker,a mapping app,a voting site,location1
192,a commercial location based service acquires location data from license plate reader and uses this data to figure out if a person was at a restaurant or a cafe,a commercial location based service,license plate reader,a restaurant or a cafe,location1
193,a commercial location based service acquires location data from license plate reader and uses this data to figure out if a person was at the mall,a commercial location based service,license plate reader,the mall,location1
194,a commercial location based service acquires location data from license plate reader and uses this data to figure out if a person was at a liquor store,a commercial location based service,license plate reader,a liquor store,location1
195,a commercial location based service acquires location data from license plate reader and uses this data to figure out if a person was at a shoe store,a commercial location based service,license plate reader,a shoe store,location1
196,a commercial location based service acquires location data from license plate reader and uses this data to figure out if a person was at home,a commercial location based service,license plate reader,home,location1
197,a commercial location based service acquires location data from license plate reader and uses this data to figure out if a person was at work,a commercial location based service,license plate reader,work,location1
198,a commercial location based service acquires location data from license plate reader and uses this data to figure out if a person was at a medical clinic,a commercial location based service,license plate reader,a medical clinic,location1
