,vignette,sender,infotype,recipient,transmission,type
43,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to its manufacturer under the following condition: if the information is used to serve contextual ads,a smart speaker/baby monitor,its owner's child's frequently asked questions,its manufacturer,if the information is used to serve contextual ads,coppa
44,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to its manufacturer under the following condition: if it complies with the Children's Online Privacy Protection Rule,a smart speaker/baby monitor,its owner's child's frequently asked questions,its manufacturer,if it complies with the Children's Online Privacy Protection Rule,coppa
45,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to a third-party service provider under the following condition: if its privacy policy permits it,a smart speaker/baby monitor,its owner's child's frequently asked questions,a third-party service provider,if its privacy policy permits it,coppa
46,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to a third-party service provider under the following condition: if its owner is directly notified before the information was collected,a smart speaker/baby monitor,its owner's child's frequently asked questions,a third-party service provider,if its owner is directly notified before the information was collected,coppa
47,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to a third-party service provider under the following condition: if its owner has given verifiable consent,a smart speaker/baby monitor,its owner's child's frequently asked questions,a third-party service provider,if its owner has given verifiable consent,coppa
48,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to a third-party service provider under the following condition: if its owner has given verifiable consent before the information was collected,a smart speaker/baby monitor,its owner's child's frequently asked questions,a third-party service provider,if its owner has given verifiable consent before the information was collected,coppa
49,"a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to a third-party service provider under the following condition: if its owner can at any time revoke their consent, review or delete the information collected",a smart speaker/baby monitor,its owner's child's frequently asked questions,a third-party service provider,"if its owner can at any time revoke their consent, review or delete the information collected",coppa
50,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to a third-party service provider under the following condition: if it implements reasonable procedures to protect the information collected,a smart speaker/baby monitor,its owner's child's frequently asked questions,a third-party service provider,if it implements reasonable procedures to protect the information collected,coppa
51,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to a third-party service provider under the following condition: if the information is kept confidential,a smart speaker/baby monitor,its owner's child's frequently asked questions,a third-party service provider,if the information is kept confidential,coppa
52,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to a third-party service provider under the following condition: if the information is kept secure,a smart speaker/baby monitor,its owner's child's frequently asked questions,a third-party service provider,if the information is kept secure,coppa
53,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to a third-party service provider under the following condition: if the information is stored for as long as is reasonably necessary for the purpose for which it was collected,a smart speaker/baby monitor,its owner's child's frequently asked questions,a third-party service provider,if the information is stored for as long as is reasonably necessary for the purpose for which it was collected,coppa
54,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to a third-party service provider under the following condition: if the information is deleted,a smart speaker/baby monitor,its owner's child's frequently asked questions,a third-party service provider,if the information is deleted,coppa
55,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to a third-party service provider under the following condition: if the information is used to protect a child's safety,a smart speaker/baby monitor,its owner's child's frequently asked questions,a third-party service provider,if the information is used to protect a child's safety,coppa
56,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to a third-party service provider under the following condition: if the information is used to provide support for internal operations of the device,a smart speaker/baby monitor,its owner's child's frequently asked questions,a third-party service provider,if the information is used to provide support for internal operations of the device,coppa
57,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to a third-party service provider under the following condition: if the information is used to maintain or analyze the function of the device,a smart speaker/baby monitor,its owner's child's frequently asked questions,a third-party service provider,if the information is used to maintain or analyze the function of the device,coppa
58,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to a third-party service provider under the following condition: if the information is used to serve contextual ads,a smart speaker/baby monitor,its owner's child's frequently asked questions,a third-party service provider,if the information is used to serve contextual ads,coppa
59,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to a third-party service provider under the following condition: if it complies with the Children's Online Privacy Protection Rule,a smart speaker/baby monitor,its owner's child's frequently asked questions,a third-party service provider,if it complies with the Children's Online Privacy Protection Rule,coppa
60,a smart speaker/baby monitor records the times its owner's child is home which is sent to its manufacturer under the following condition: if its privacy policy permits it,a smart speaker/baby monitor,the times its owner's child is home,its manufacturer,if its privacy policy permits it,coppa
61,a smart speaker/baby monitor records the times its owner's child is home which is sent to its manufacturer under the following condition: if its owner is directly notified before the information was collected,a smart speaker/baby monitor,the times its owner's child is home,its manufacturer,if its owner is directly notified before the information was collected,coppa
62,a smart speaker/baby monitor records the times its owner's child is home which is sent to its manufacturer under the following condition: if its owner has given verifiable consent,a smart speaker/baby monitor,the times its owner's child is home,its manufacturer,if its owner has given verifiable consent,coppa
63,a smart speaker/baby monitor records the times its owner's child is home which is sent to its manufacturer under the following condition: if its owner has given verifiable consent before the information was collected,a smart speaker/baby monitor,the times its owner's child is home,its manufacturer,if its owner has given verifiable consent before the information was collected,coppa
64,"a smart speaker/baby monitor records the times its owner's child is home which is sent to its manufacturer under the following condition: if its owner can at any time revoke their consent, review or delete the information collected",a smart speaker/baby monitor,the times its owner's child is home,its manufacturer,"if its owner can at any time revoke their consent, review or delete the information collected",coppa
65,a smart speaker/baby monitor records the times its owner's child is home which is sent to its manufacturer under the following condition: if it implements reasonable procedures to protect the information collected,a smart speaker/baby monitor,the times its owner's child is home,its manufacturer,if it implements reasonable procedures to protect the information collected,coppa
66,a smart speaker/baby monitor records the times its owner's child is home which is sent to its manufacturer under the following condition: if the information is kept confidential,a smart speaker/baby monitor,the times its owner's child is home,its manufacturer,if the information is kept confidential,coppa
67,a smart speaker/baby monitor records the times its owner's child is home which is sent to its manufacturer under the following condition: if the information is kept secure,a smart speaker/baby monitor,the times its owner's child is home,its manufacturer,if the information is kept secure,coppa
68,a smart speaker/baby monitor records the times its owner's child is home which is sent to its manufacturer under the following condition: if the information is stored for as long as is reasonably necessary for the purpose for which it was collected,a smart speaker/baby monitor,the times its owner's child is home,its manufacturer,if the information is stored for as long as is reasonably necessary for the purpose for which it was collected,coppa
69,a smart speaker/baby monitor records the times its owner's child is home which is sent to its manufacturer under the following condition: if the information is deleted,a smart speaker/baby monitor,the times its owner's child is home,its manufacturer,if the information is deleted,coppa
70,a smart speaker/baby monitor records the times its owner's child is home which is sent to its manufacturer under the following condition: if the information is used to protect a child's safety,a smart speaker/baby monitor,the times its owner's child is home,its manufacturer,if the information is used to protect a child's safety,coppa
71,a smart speaker/baby monitor records the times its owner's child is home which is sent to its manufacturer under the following condition: if the information is used to provide support for internal operations of the device,a smart speaker/baby monitor,the times its owner's child is home,its manufacturer,if the information is used to provide support for internal operations of the device,coppa
72,a smart speaker/baby monitor records the times its owner's child is home which is sent to its manufacturer under the following condition: if the information is used to maintain or analyze the function of the device,a smart speaker/baby monitor,the times its owner's child is home,its manufacturer,if the information is used to maintain or analyze the function of the device,coppa
73,a smart speaker/baby monitor records the times its owner's child is home which is sent to its manufacturer under the following condition: if the information is used to serve contextual ads,a smart speaker/baby monitor,the times its owner's child is home,its manufacturer,if the information is used to serve contextual ads,coppa
74,a smart speaker/baby monitor records the times its owner's child is home which is sent to its manufacturer under the following condition: if it complies with the Children's Online Privacy Protection Rule,a smart speaker/baby monitor,the times its owner's child is home,its manufacturer,if it complies with the Children's Online Privacy Protection Rule,coppa
75,a smart speaker/baby monitor records the times its owner's child is home which is sent to a third-party service provider under the following condition: if its privacy policy permits it,a smart speaker/baby monitor,the times its owner's child is home,a third-party service provider,if its privacy policy permits it,coppa
76,a smart speaker/baby monitor records the times its owner's child is home which is sent to a third-party service provider under the following condition: if its owner is directly notified before the information was collected,a smart speaker/baby monitor,the times its owner's child is home,a third-party service provider,if its owner is directly notified before the information was collected,coppa
77,a smart speaker/baby monitor records the times its owner's child is home which is sent to a third-party service provider under the following condition: if its owner has given verifiable consent,a smart speaker/baby monitor,the times its owner's child is home,a third-party service provider,if its owner has given verifiable consent,coppa
78,a smart speaker/baby monitor records the times its owner's child is home which is sent to a third-party service provider under the following condition: if its owner has given verifiable consent before the information was collected,a smart speaker/baby monitor,the times its owner's child is home,a third-party service provider,if its owner has given verifiable consent before the information was collected,coppa
79,"a smart speaker/baby monitor records the times its owner's child is home which is sent to a third-party service provider under the following condition: if its owner can at any time revoke their consent, review or delete the information collected",a smart speaker/baby monitor,the times its owner's child is home,a third-party service provider,"if its owner can at any time revoke their consent, review or delete the information collected",coppa
80,a smart speaker/baby monitor records the times its owner's child is home which is sent to a third-party service provider under the following condition: if it implements reasonable procedures to protect the information collected,a smart speaker/baby monitor,the times its owner's child is home,a third-party service provider,if it implements reasonable procedures to protect the information collected,coppa
81,a smart speaker/baby monitor records the times its owner's child is home which is sent to a third-party service provider under the following condition: if the information is kept confidential,a smart speaker/baby monitor,the times its owner's child is home,a third-party service provider,if the information is kept confidential,coppa
82,a smart speaker/baby monitor records the times its owner's child is home which is sent to a third-party service provider under the following condition: if the information is kept secure,a smart speaker/baby monitor,the times its owner's child is home,a third-party service provider,if the information is kept secure,coppa
83,a smart speaker/baby monitor records the times its owner's child is home which is sent to a third-party service provider under the following condition: if the information is stored for as long as is reasonably necessary for the purpose for which it was collected,a smart speaker/baby monitor,the times its owner's child is home,a third-party service provider,if the information is stored for as long as is reasonably necessary for the purpose for which it was collected,coppa
84,a smart speaker/baby monitor records the times its owner's child is home which is sent to a third-party service provider under the following condition: if the information is deleted,a smart speaker/baby monitor,the times its owner's child is home,a third-party service provider,if the information is deleted,coppa
85,a smart speaker/baby monitor records the times its owner's child is home which is sent to a third-party service provider under the following condition: if the information is used to protect a child's safety,a smart speaker/baby monitor,the times its owner's child is home,a third-party service provider,if the information is used to protect a child's safety,coppa
86,a smart speaker/baby monitor records the times its owner's child is home which is sent to a third-party service provider under the following condition: if the information is used to provide support for internal operations of the device,a smart speaker/baby monitor,the times its owner's child is home,a third-party service provider,if the information is used to provide support for internal operations of the device,coppa
87,a smart speaker/baby monitor records the times its owner's child is home which is sent to a third-party service provider under the following condition: if the information is used to maintain or analyze the function of the device,a smart speaker/baby monitor,the times its owner's child is home,a third-party service provider,if the information is used to maintain or analyze the function of the device,coppa
88,a smart speaker/baby monitor records the times its owner's child is home which is sent to a third-party service provider under the following condition: if the information is used to serve contextual ads,a smart speaker/baby monitor,the times its owner's child is home,a third-party service provider,if the information is used to serve contextual ads,coppa
89,a smart speaker/baby monitor records the times its owner's child is home which is sent to a third-party service provider under the following condition: if it complies with the Children's Online Privacy Protection Rule,a smart speaker/baby monitor,the times its owner's child is home,a third-party service provider,if it complies with the Children's Online Privacy Protection Rule,coppa
90,a smart speaker/baby monitor records the times it is used which is sent to its manufacturer under the following condition: if its privacy policy permits it,a smart speaker/baby monitor,the times it is used,its manufacturer,if its privacy policy permits it,coppa
91,a smart speaker/baby monitor records the times it is used which is sent to its manufacturer under the following condition: if its owner is directly notified before the information was collected,a smart speaker/baby monitor,the times it is used,its manufacturer,if its owner is directly notified before the information was collected,coppa
92,a smart speaker/baby monitor records the times it is used which is sent to its manufacturer under the following condition: if its owner has given verifiable consent,a smart speaker/baby monitor,the times it is used,its manufacturer,if its owner has given verifiable consent,coppa
93,a smart speaker/baby monitor records the times it is used which is sent to its manufacturer under the following condition: if its owner has given verifiable consent before the information was collected,a smart speaker/baby monitor,the times it is used,its manufacturer,if its owner has given verifiable consent before the information was collected,coppa
94,"a smart speaker/baby monitor records the times it is used which is sent to its manufacturer under the following condition: if its owner can at any time revoke their consent, review or delete the information collected",a smart speaker/baby monitor,the times it is used,its manufacturer,"if its owner can at any time revoke their consent, review or delete the information collected",coppa
95,a smart speaker/baby monitor records the times it is used which is sent to its manufacturer under the following condition: if it implements reasonable procedures to protect the information collected,a smart speaker/baby monitor,the times it is used,its manufacturer,if it implements reasonable procedures to protect the information collected,coppa
96,a smart speaker/baby monitor records the times it is used which is sent to its manufacturer under the following condition: if the information is kept confidential,a smart speaker/baby monitor,the times it is used,its manufacturer,if the information is kept confidential,coppa
97,a smart speaker/baby monitor records the times it is used which is sent to its manufacturer under the following condition: if the information is kept secure,a smart speaker/baby monitor,the times it is used,its manufacturer,if the information is kept secure,coppa
98,a smart speaker/baby monitor records the times it is used which is sent to its manufacturer under the following condition: if the information is stored for as long as is reasonably necessary for the purpose for which it was collected,a smart speaker/baby monitor,the times it is used,its manufacturer,if the information is stored for as long as is reasonably necessary for the purpose for which it was collected,coppa
99,a smart speaker/baby monitor records the times it is used which is sent to its manufacturer under the following condition: if the information is deleted,a smart speaker/baby monitor,the times it is used,its manufacturer,if the information is deleted,coppa
100,a smart speaker/baby monitor records the times it is used which is sent to its manufacturer under the following condition: if the information is used to protect a child's safety,a smart speaker/baby monitor,the times it is used,its manufacturer,if the information is used to protect a child's safety,coppa
101,a smart speaker/baby monitor records the times it is used which is sent to its manufacturer under the following condition: if the information is used to provide support for internal operations of the device,a smart speaker/baby monitor,the times it is used,its manufacturer,if the information is used to provide support for internal operations of the device,coppa
102,a smart speaker/baby monitor records the times it is used which is sent to its manufacturer under the following condition: if the information is used to maintain or analyze the function of the device,a smart speaker/baby monitor,the times it is used,its manufacturer,if the information is used to maintain or analyze the function of the device,coppa
103,a smart speaker/baby monitor records the times it is used which is sent to its manufacturer under the following condition: if the information is used to serve contextual ads,a smart speaker/baby monitor,the times it is used,its manufacturer,if the information is used to serve contextual ads,coppa
104,a smart speaker/baby monitor records the times it is used which is sent to its manufacturer under the following condition: if it complies with the Children's Online Privacy Protection Rule,a smart speaker/baby monitor,the times it is used,its manufacturer,if it complies with the Children's Online Privacy Protection Rule,coppa
105,a smart speaker/baby monitor records the times it is used which is sent to a third-party service provider under the following condition: if its privacy policy permits it,a smart speaker/baby monitor,the times it is used,a third-party service provider,if its privacy policy permits it,coppa
106,a smart speaker/baby monitor records the times it is used which is sent to a third-party service provider under the following condition: if its owner is directly notified before the information was collected,a smart speaker/baby monitor,the times it is used,a third-party service provider,if its owner is directly notified before the information was collected,coppa
107,a smart speaker/baby monitor records the times it is used which is sent to a third-party service provider under the following condition: if its owner has given verifiable consent,a smart speaker/baby monitor,the times it is used,a third-party service provider,if its owner has given verifiable consent,coppa
108,a smart speaker/baby monitor records the times it is used which is sent to a third-party service provider under the following condition: if its owner has given verifiable consent before the information was collected,a smart speaker/baby monitor,the times it is used,a third-party service provider,if its owner has given verifiable consent before the information was collected,coppa
109,"a smart speaker/baby monitor records the times it is used which is sent to a third-party service provider under the following condition: if its owner can at any time revoke their consent, review or delete the information collected",a smart speaker/baby monitor,the times it is used,a third-party service provider,"if its owner can at any time revoke their consent, review or delete the information collected",coppa
110,a smart speaker/baby monitor records the times it is used which is sent to a third-party service provider under the following condition: if it implements reasonable procedures to protect the information collected,a smart speaker/baby monitor,the times it is used,a third-party service provider,if it implements reasonable procedures to protect the information collected,coppa
111,a smart speaker/baby monitor records the times it is used which is sent to a third-party service provider under the following condition: if the information is kept confidential,a smart speaker/baby monitor,the times it is used,a third-party service provider,if the information is kept confidential,coppa
112,a smart speaker/baby monitor records the times it is used which is sent to a third-party service provider under the following condition: if the information is kept secure,a smart speaker/baby monitor,the times it is used,a third-party service provider,if the information is kept secure,coppa
113,a smart speaker/baby monitor records the times it is used which is sent to a third-party service provider under the following condition: if the information is stored for as long as is reasonably necessary for the purpose for which it was collected,a smart speaker/baby monitor,the times it is used,a third-party service provider,if the information is stored for as long as is reasonably necessary for the purpose for which it was collected,coppa
114,a smart speaker/baby monitor records the times it is used which is sent to a third-party service provider under the following condition: if the information is deleted,a smart speaker/baby monitor,the times it is used,a third-party service provider,if the information is deleted,coppa
115,a smart speaker/baby monitor records the times it is used which is sent to a third-party service provider under the following condition: if the information is used to protect a child's safety,a smart speaker/baby monitor,the times it is used,a third-party service provider,if the information is used to protect a child's safety,coppa
116,a smart speaker/baby monitor records the times it is used which is sent to a third-party service provider under the following condition: if the information is used to provide support for internal operations of the device,a smart speaker/baby monitor,the times it is used,a third-party service provider,if the information is used to provide support for internal operations of the device,coppa
117,a smart speaker/baby monitor records the times it is used which is sent to a third-party service provider under the following condition: if the information is used to maintain or analyze the function of the device,a smart speaker/baby monitor,the times it is used,a third-party service provider,if the information is used to maintain or analyze the function of the device,coppa
118,a smart speaker/baby monitor records the times it is used which is sent to a third-party service provider under the following condition: if the information is used to serve contextual ads,a smart speaker/baby monitor,the times it is used,a third-party service provider,if the information is used to serve contextual ads,coppa
119,a smart speaker/baby monitor records the times it is used which is sent to a third-party service provider under the following condition: if it complies with the Children's Online Privacy Protection Rule,a smart speaker/baby monitor,the times it is used,a third-party service provider,if it complies with the Children's Online Privacy Protection Rule,coppa
120,a smart speaker/baby monitor records its owner's child's frequently traveled routes which is sent to its manufacturer under the following condition: if its privacy policy permits it,a smart speaker/baby monitor,its owner's child's frequently traveled routes,its manufacturer,if its privacy policy permits it,coppa
121,a smart speaker/baby monitor records its owner's child's frequently traveled routes which is sent to its manufacturer under the following condition: if its owner is directly notified before the information was collected,a smart speaker/baby monitor,its owner's child's frequently traveled routes,its manufacturer,if its owner is directly notified before the information was collected,coppa
122,a smart speaker/baby monitor records its owner's child's frequently traveled routes which is sent to its manufacturer under the following condition: if its owner has given verifiable consent,a smart speaker/baby monitor,its owner's child's frequently traveled routes,its manufacturer,if its owner has given verifiable consent,coppa
123,a smart speaker/baby monitor records its owner's child's frequently traveled routes which is sent to its manufacturer under the following condition: if its owner has given verifiable consent before the information was collected,a smart speaker/baby monitor,its owner's child's frequently traveled routes,its manufacturer,if its owner has given verifiable consent before the information was collected,coppa
