,vignette,actor,infotype,use,inference,type
10,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. A data brker is allowed to purchase this new knowledge about you and others in order to place ads targeted to you while on their site",browser,"your likes, clicks and engagement online",to place ads targeted to you while on their site,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web3
11,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. A data brker is allowed to purchase this new knowledge about you and others in order to place ads targeted to you while on their site",browser,"your likes, clicks and engagement online",to place ads targeted to you while on their site,your emotional state or your mood,web3
12,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). A data brker is allowed to purchase this new knowledge about you and others in order to place ads targeted to you while on their site",browser,"your likes, clicks and engagement online",to place ads targeted to you while on their site,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web3
13,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). A data brker is allowed to purchase this new knowledge about you and others in order to place ads targeted to you while on their site",browser,"your likes, clicks and engagement online",to place ads targeted to you while on their site,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web3
14,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). A data brker is allowed to purchase this new knowledge about you and others in order to place ads targeted to you while on their site",browser,"your likes, clicks and engagement online",to place ads targeted to you while on their site,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web3
15,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. A data brker is allowed to purchase this new knowledge about you and others in order to sell access to their data (e.g., to a potential buyer or lending institution)",browser,"your likes, clicks and engagement online","to sell access to their data (e.g., to a potential buyer or lending institution)","demographics such as age, gender, race, family status, income, sexual orientation etc.",web3
16,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. A data brker is allowed to purchase this new knowledge about you and others in order to sell access to their data (e.g., to a potential buyer or lending institution)",browser,"your likes, clicks and engagement online","to sell access to their data (e.g., to a potential buyer or lending institution)",your emotional state or your mood,web3
17,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). A data brker is allowed to purchase this new knowledge about you and others in order to sell access to their data (e.g., to a potential buyer or lending institution)",browser,"your likes, clicks and engagement online","to sell access to their data (e.g., to a potential buyer or lending institution)","friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web3
18,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). A data brker is allowed to purchase this new knowledge about you and others in order to sell access to their data (e.g., to a potential buyer or lending institution)",browser,"your likes, clicks and engagement online","to sell access to their data (e.g., to a potential buyer or lending institution)","interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web3
19,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). A data brker is allowed to purchase this new knowledge about you and others in order to sell access to their data (e.g., to a potential buyer or lending institution)",browser,"your likes, clicks and engagement online","to sell access to their data (e.g., to a potential buyer or lending institution)","recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web3
20,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. A data brker is allowed to purchase this new knowledge about you and others in order for others to place ads targeted to you while you are online later",browser,your location,for others to place ads targeted to you while you are online later,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web3
21,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. A data brker is allowed to purchase this new knowledge about you and others in order for others to place ads targeted to you while you are online later",browser,your location,for others to place ads targeted to you while you are online later,your emotional state or your mood,web3
22,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). A data brker is allowed to purchase this new knowledge about you and others in order for others to place ads targeted to you while you are online later",browser,your location,for others to place ads targeted to you while you are online later,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web3
23,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). A data brker is allowed to purchase this new knowledge about you and others in order for others to place ads targeted to you while you are online later",browser,your location,for others to place ads targeted to you while you are online later,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web3
24,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). A data brker is allowed to purchase this new knowledge about you and others in order for others to place ads targeted to you while you are online later",browser,your location,for others to place ads targeted to you while you are online later,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web3
25,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. A data brker is allowed to purchase this new knowledge about you and others in order to improve services generally",browser,your location,to improve services generally,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web3
26,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. A data brker is allowed to purchase this new knowledge about you and others in order to improve services generally",browser,your location,to improve services generally,your emotional state or your mood,web3
27,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). A data brker is allowed to purchase this new knowledge about you and others in order to improve services generally",browser,your location,to improve services generally,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web3
28,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). A data brker is allowed to purchase this new knowledge about you and others in order to improve services generally",browser,your location,to improve services generally,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web3
29,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). A data brker is allowed to purchase this new knowledge about you and others in order to improve services generally",browser,your location,to improve services generally,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web3
30,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. A data brker is allowed to purchase this new knowledge about you and others in order to place ads targeted to you while on their site",browser,your location,to place ads targeted to you while on their site,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web3
31,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. A data brker is allowed to purchase this new knowledge about you and others in order to place ads targeted to you while on their site",browser,your location,to place ads targeted to you while on their site,your emotional state or your mood,web3
32,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). A data brker is allowed to purchase this new knowledge about you and others in order to place ads targeted to you while on their site",browser,your location,to place ads targeted to you while on their site,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web3
33,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). A data brker is allowed to purchase this new knowledge about you and others in order to place ads targeted to you while on their site",browser,your location,to place ads targeted to you while on their site,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web3
34,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). A data brker is allowed to purchase this new knowledge about you and others in order to place ads targeted to you while on their site",browser,your location,to place ads targeted to you while on their site,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web3
35,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. A data brker is allowed to purchase this new knowledge about you and others in order to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your location,"to sell access to their data (e.g., to a potential buyer or lending institution)","demographics such as age, gender, race, family status, income, sexual orientation etc.",web3
36,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. A data brker is allowed to purchase this new knowledge about you and others in order to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your location,"to sell access to their data (e.g., to a potential buyer or lending institution)",your emotional state or your mood,web3
37,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). A data brker is allowed to purchase this new knowledge about you and others in order to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your location,"to sell access to their data (e.g., to a potential buyer or lending institution)","friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web3
38,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). A data brker is allowed to purchase this new knowledge about you and others in order to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your location,"to sell access to their data (e.g., to a potential buyer or lending institution)","interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web3
39,"A browser collects your your location. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). A data brker is allowed to purchase this new knowledge about you and others in order to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your location,"to sell access to their data (e.g., to a potential buyer or lending institution)","recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web3
40,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. A data brker is allowed to purchase this new knowledge about you and others in order for others to place ads targeted to you while you are online later",browser,your search history,for others to place ads targeted to you while you are online later,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web3
41,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. A data brker is allowed to purchase this new knowledge about you and others in order for others to place ads targeted to you while you are online later",browser,your search history,for others to place ads targeted to you while you are online later,your emotional state or your mood,web3
42,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). A data brker is allowed to purchase this new knowledge about you and others in order for others to place ads targeted to you while you are online later",browser,your search history,for others to place ads targeted to you while you are online later,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web3
43,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). A data brker is allowed to purchase this new knowledge about you and others in order for others to place ads targeted to you while you are online later",browser,your search history,for others to place ads targeted to you while you are online later,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web3
44,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). A data brker is allowed to purchase this new knowledge about you and others in order for others to place ads targeted to you while you are online later",browser,your search history,for others to place ads targeted to you while you are online later,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web3
45,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. A data brker is allowed to purchase this new knowledge about you and others in order to improve services generally",browser,your search history,to improve services generally,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web3
46,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. A data brker is allowed to purchase this new knowledge about you and others in order to improve services generally",browser,your search history,to improve services generally,your emotional state or your mood,web3
47,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). A data brker is allowed to purchase this new knowledge about you and others in order to improve services generally",browser,your search history,to improve services generally,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web3
48,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). A data brker is allowed to purchase this new knowledge about you and others in order to improve services generally",browser,your search history,to improve services generally,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web3
49,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). A data brker is allowed to purchase this new knowledge about you and others in order to improve services generally",browser,your search history,to improve services generally,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web3
50,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. A data brker is allowed to purchase this new knowledge about you and others in order to place ads targeted to you while on their site",browser,your search history,to place ads targeted to you while on their site,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web3
51,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. A data brker is allowed to purchase this new knowledge about you and others in order to place ads targeted to you while on their site",browser,your search history,to place ads targeted to you while on their site,your emotional state or your mood,web3
52,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). A data brker is allowed to purchase this new knowledge about you and others in order to place ads targeted to you while on their site",browser,your search history,to place ads targeted to you while on their site,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web3
53,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). A data brker is allowed to purchase this new knowledge about you and others in order to place ads targeted to you while on their site",browser,your search history,to place ads targeted to you while on their site,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web3
54,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). A data brker is allowed to purchase this new knowledge about you and others in order to place ads targeted to you while on their site",browser,your search history,to place ads targeted to you while on their site,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web3
55,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. A data brker is allowed to purchase this new knowledge about you and others in order to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your search history,"to sell access to their data (e.g., to a potential buyer or lending institution)","demographics such as age, gender, race, family status, income, sexual orientation etc.",web3
56,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. A data brker is allowed to purchase this new knowledge about you and others in order to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your search history,"to sell access to their data (e.g., to a potential buyer or lending institution)",your emotional state or your mood,web3
57,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). A data brker is allowed to purchase this new knowledge about you and others in order to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your search history,"to sell access to their data (e.g., to a potential buyer or lending institution)","friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web3
58,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). A data brker is allowed to purchase this new knowledge about you and others in order to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your search history,"to sell access to their data (e.g., to a potential buyer or lending institution)","interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web3
59,"A browser collects your your search history. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). A data brker is allowed to purchase this new knowledge about you and others in order to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your search history,"to sell access to their data (e.g., to a potential buyer or lending institution)","recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web3
60,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. A data brker is allowed to purchase this new knowledge about you and others in order for others to place ads targeted to you while you are online later",browser,the data you included in your profile,for others to place ads targeted to you while you are online later,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web3
61,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. A data brker is allowed to purchase this new knowledge about you and others in order for others to place ads targeted to you while you are online later",browser,the data you included in your profile,for others to place ads targeted to you while you are online later,your emotional state or your mood,web3
62,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). A data brker is allowed to purchase this new knowledge about you and others in order for others to place ads targeted to you while you are online later",browser,the data you included in your profile,for others to place ads targeted to you while you are online later,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web3
63,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). A data brker is allowed to purchase this new knowledge about you and others in order for others to place ads targeted to you while you are online later",browser,the data you included in your profile,for others to place ads targeted to you while you are online later,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web3
64,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). A data brker is allowed to purchase this new knowledge about you and others in order for others to place ads targeted to you while you are online later",browser,the data you included in your profile,for others to place ads targeted to you while you are online later,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web3
65,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. A data brker is allowed to purchase this new knowledge about you and others in order to improve services generally",browser,the data you included in your profile,to improve services generally,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web3
66,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. A data brker is allowed to purchase this new knowledge about you and others in order to improve services generally",browser,the data you included in your profile,to improve services generally,your emotional state or your mood,web3
67,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). A data brker is allowed to purchase this new knowledge about you and others in order to improve services generally",browser,the data you included in your profile,to improve services generally,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web3
68,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). A data brker is allowed to purchase this new knowledge about you and others in order to improve services generally",browser,the data you included in your profile,to improve services generally,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web3
69,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). A data brker is allowed to purchase this new knowledge about you and others in order to improve services generally",browser,the data you included in your profile,to improve services generally,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web3
70,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. A data brker is allowed to purchase this new knowledge about you and others in order to place ads targeted to you while on their site",browser,the data you included in your profile,to place ads targeted to you while on their site,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web3
71,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. A data brker is allowed to purchase this new knowledge about you and others in order to place ads targeted to you while on their site",browser,the data you included in your profile,to place ads targeted to you while on their site,your emotional state or your mood,web3
72,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). A data brker is allowed to purchase this new knowledge about you and others in order to place ads targeted to you while on their site",browser,the data you included in your profile,to place ads targeted to you while on their site,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web3
73,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). A data brker is allowed to purchase this new knowledge about you and others in order to place ads targeted to you while on their site",browser,the data you included in your profile,to place ads targeted to you while on their site,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web3
74,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). A data brker is allowed to purchase this new knowledge about you and others in order to place ads targeted to you while on their site",browser,the data you included in your profile,to place ads targeted to you while on their site,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web3
75,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. A data brker is allowed to purchase this new knowledge about you and others in order to sell access to their data (e.g., to a potential buyer or lending institution)",browser,the data you included in your profile,"to sell access to their data (e.g., to a potential buyer or lending institution)","demographics such as age, gender, race, family status, income, sexual orientation etc.",web3
76,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. A data brker is allowed to purchase this new knowledge about you and others in order to sell access to their data (e.g., to a potential buyer or lending institution)",browser,the data you included in your profile,"to sell access to their data (e.g., to a potential buyer or lending institution)",your emotional state or your mood,web3
77,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). A data brker is allowed to purchase this new knowledge about you and others in order to sell access to their data (e.g., to a potential buyer or lending institution)",browser,the data you included in your profile,"to sell access to their data (e.g., to a potential buyer or lending institution)","friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web3
78,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). A data brker is allowed to purchase this new knowledge about you and others in order to sell access to their data (e.g., to a potential buyer or lending institution)",browser,the data you included in your profile,"to sell access to their data (e.g., to a potential buyer or lending institution)","interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web3
79,"A browser collects your the data you included in your profile. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). A data brker is allowed to purchase this new knowledge about you and others in order to sell access to their data (e.g., to a potential buyer or lending institution)",browser,the data you included in your profile,"to sell access to their data (e.g., to a potential buyer or lending institution)","recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web3
80,"A browser collects your your web activity including browsing or purchase history. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. A data brker is allowed to purchase this new knowledge about you and others in order for others to place ads targeted to you while you are online later",browser,your web activity including browsing or purchase history,for others to place ads targeted to you while you are online later,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web3
